tree_code,tree_common_name,tree_species,latitude,longitude,dbh,stream_distance,canopy_height,large_vines,epiphytes,moss,mean_ground_cover,density_small_stems,density_big_stems,canopy_size,mean_canopy_cover,root_base,lugovia_epiphytes,dbh_r,ground_cover,canopy_cover,espave
PAT133,Bateo,Carapa guianensis,-79.71568,9.35152,-0.5895558276964866,-0.4467827771293998,-0.7813815197676512,2,3,0,13.08333333,0.20146956162674268,-1.2712009441026821,-0.6439104633639815,84,3,2,0.83,-0.779964285041164,0.0824808374185024,0
PAT134,Guabo,Unknown sp. 2,-79.71538,9.35277,-0.672910047521439,-0.12976625952699095,-0.21742879396802067,1,4,0,21.66666667,0.03774366470982034,-1.2712009441026821,-0.1806015034991858,84.25,1,2,0.78,0.26463243236250106,0.09298454628176853,0
PAT135,Bongo,Ceiba pentandra,-79.71061,9.34981,0.11061961883311437,-0.1884977406828057,1.0441407777071263,1,5,1,45.83333333,-0.7808858198747921,-0.9457978316170674,4.042268439392116,90,4,2,1.25,3.2057299831217954,0.3345698501368896,0
PAT136,Sandé,Brosimum utile,-79.71045,9.34937,-0.7729351113113822,0.20393533794922886,0.21469082709922835,2,2,0,27.08333333,-0.8900364178194069,-0.6203947191314525,-0.9913921832625783,88.16666667,2,1,0.72,0.9238439517307877,0.25754265194632064,0
PAT137,Níspero chingongo,Manilkara sp. 3,-79.71067,9.34929,-0.6228975156264676,0.5376369354254487,0.7566713687767952,0,2,0,29.16666667,-0.6717352219301771,-0.2949916066458377,-0.9902570501155291,87.83333333,0,1,0.81,1.177386844918904,0.2435377065152004,0
PAT138,Sandé,Brosimum utile,-79.71031,9.3497,-0.5895558276964866,-0.5302081764984548,-0.1551742722888414,0,1,0,28.75,-0.5625846239855622,-0.9457978316170674,-0.9453887295300551,90.25,0,1,0.83,1.1266782660378794,0.34507355900015574,0
PAT139,Sebo de vieja,Unknown sp. 3,-79.71013,9.349,-0.5728849837314962,0.7044877341635586,-0.48292601877628866,0,2,0,13.75,-0.9446117167917145,-1.2712009441026821,-0.46067377804994564,90.08333333,4,0,0.84,-0.6988305590749263,0.3380710862845956,0
PAT140,Amarillo,Terminalia amazonia,-79.71065,9.34846,-0.4061765440815912,-0.2298767387698569,-0.6898307525923866,1,3,0,11,-0.999187015764022,-0.6203947191314525,0.10370569086941106,89.41666667,3,1,0.94,-1.033507177012274,0.31006119626265133,0
PAT141,Arino,Unknown sp. 4,-79.71048,9.34838,-1.1230228345761826,-0.5302081764984548,-1.4588571968646096,0,2,0,15.83333333,-0.8900364178194069,-1.596604056588297,-0.7475131925158058,88.25,1,1,0.51,-0.44528766710381634,0.2610438880940267,0
PAT142,Cuajao negro,Unknown sp. 5,-79.71038,9.34851,-0.6895808914864295,-0.46346785700321075,-0.543349525111963,1,3,1,25,-0.7263105209024846,-0.6203947191314525,-1.104250613459572,89.33333333,0,2,0.77,0.6703010597596779,0.3065599596947972,0
