tree_code,Season,date,start_time,am_pm,survey_types,arboreal_survey_code,ground_survey_code,day_hour
PAT117,D,07/04/2020,21:05:00,PM,G,NA,G18,-0.847864020240804
PAT87,D,08/04/2020,19:00:00,PM,G,NA,G18,-0.73965488057726
PAT86,D,08/04/2020,20:49:00,PM,G,NA,G18,-0.7347362833198262
PAT92,D,08/04/2020,21:30:00,PM,G,NA,G18,-0.7298176860623924
PAT93,D,08/04/2020,22:00:00,PM,G,NA,G18,-0.7248990888049586
PAT85,D,09/04/2020,19:00:00,PM,G,NA,G18,-0.6216085463988483
PAT84,D,09/04/2020,19:35:00,PM,G,NA,G18,-0.6216085463988483
PAT94,D,09/04/2020,20:15:00,PM,G,NA,G18,-0.6166899491414145
PAT98,D,09/04/2020,21:13:00,PM,G,NA,G18,-0.6117713518839807
PAT88,D,11/04/2020,19:00:00,PM,G,NA,G18,-0.38551587804202503
PAT90,D,11/04/2020,19:44:00,PM,G,NA,G18,-0.38551587804202503
PAT89,D,11/04/2020,20:17:00,PM,G,NA,G18,-0.3805972807845912
PAT91,D,11/04/2020,21:15:00,PM,G,NA,G18,-0.3756786835271574
